BREED,GENDER_01,AGEATSURGERYmo,BODYWEIGHTKG,Taglia,BCS,YEAR,n_luxation,GENERATION,STEMSIZE,CUPSIZE,NECKSIZE,HEADSIZE,ALO,CUPRETROVERSION,STEMANTEVERSIONREAL,RECTUSFEMORISM.RELEASE,first_lux_days_after_thr,DIRECTION,LUX_CR,LUX_01
7,1,34.0333333333333,50.0,1,6.0,2013,-1.0,4,1,5,5,0,45.0,15,33.3,0,-1.0,-1.0,0,0
10,1,45.758435394063916,33.18655729662036,1,5.0,2010,1.4067213516898214,4,3,2,4,0,47.18655729662036,27,45.445064886104056,0,834.1495102878707,0.0,0,1
6,1,20.8666666666667,18.5,0,5.0,2014,-1.0,4,3,2,4,0,40.0,15,22.5,0,-1.0,-1.0,0,0
11,0,71.5,19.5,0,5.0,2021,-1.0,6,2,2,4,0,45.0,30,24.2,0,-1.0,-1.0,0,0
9,0,9.624567169093128,38.10869182530759,1,5.8514486375512655,2021,1.8514486375512653,6,0,4,4,1,46.96014046285886,18,26.437313419185756,0,56.33696226203861,0.0,0,1
10,1,8.36666666666667,27.4,1,5.0,2018,-1.0,6,0,3,4,0,44.0,10,22.5,0,-1.0,-1.0,1,0
10,0,12.2333333333333,35.0,1,5.0,2021,-1.0,6,0,4,4,1,40.0,24,24.2,2,-1.0,-1.0,0,0
10,0,82.4,34.5,1,5.0,2010,-1.0,4,0,2,4,0,40.0,15,41.7,0,-1.0,-1.0,0,0
10,1,70.4,28.0,1,6.0,2019,-1.0,6,0,3,4,0,42.0,26,25.9,0,-1.0,-1.0,0,0
5,0,118.26866946500135,26.117294667738477,1,4.53866259660405,2009,1.0,4,1,3,4,0,43.9226748067919,20,25.259954211795566,0,65.53343508489874,0.0,0,1
5,0,6.1,20.2,1,4.0,2015,-1.0,5,0,3,4,0,38.0,20,31.3,2,-1.0,-1.0,1,0
11,1,66.5666666666667,20.0,0,5.0,2009,-1.0,4,2,1,3,0,50.0,15,27.7,0,-1.0,-1.0,1,0
12,0,58.5,29.3,1,5.0,2021,-1.0,6,3,2,4,0,42.0,20,17.7,1,-1.0,-1.0,0,0
10,1,11.808140745041285,33.246773567889676,1,5.0,2011,2.0,4,0,3,4,0,46.445468708606455,16,36.74546870860645,0,28.16820306290968,0.2772656456967736,1,1
5,1,53.8666666666667,30.0,1,4.0,2021,-1.0,6,0,4,4,1,40.0,14,27.7,1,-1.0,-1.0,0,0
1,0,94.9,26.9,1,5.0,2016,-1.0,5,0,3,4,0,41.0,22,35.3,0,-1.0,-1.0,1,0
5,1,11.6333333333333,30.8,1,5.0,2014,-1.0,4,0,3,4,0,40.0,20,33.3,2,-1.0,-1.0,0,0
3,0,8.63333333333333,40.0,1,6.0,2009,-1.0,4,1,6,5,1,38.0,17,27.7,0,-1.0,-1.0,0,0
10,0,57.7333333333333,32.0,1,5.0,2006,-1.0,3,0,2,4,0,47.0,18,24.2,0,-1.0,-1.0,0,0
12,0,94.71150782962914,26.939347373563564,1,5.0,2006,2.0,3,0,3,4,0,44.939347373563564,22,31.156455450767105,0,10.161740337163824,0.0,0,1
5,1,55.651508469100285,32.12513239276883,1,5.989572300602597,2009,2.0,4,1,3,4,0,38.03128309819221,26,31.19050915632727,0,10.0,0.0,0,1
10,1,10.881207138669941,27.062938076127857,1,4.870360798510713,2017,1.0,5,1,3,4,0,39.30554119776607,9,23.239806678734105,0,12.481443194042853,0.5648196007446432,0,1
1,0,79.6666666666667,42.3,1,7.0,2018,-1.0,6,1,7,5,2,40.0,26,27.7,0,-1.0,-1.0,0,0
2,1,10.0,20.0,0,5.0,2011,-1.0,4,3,1,3,0,48.0,17,31.3,0,-1.0,-1.0,0,0
3,0,11.7,49.0,1,5.0,2009,-1.0,4,1,6,4,1,41.0,10,29.5,0,-1.0,-1.0,0,0
5,0,80.5333333333333,29.3,1,5.0,2014,-1.0,4,0,3,4,0,40.0,20,31.3,0,-1.0,-1.0,0,0
10,0,8.36666666666667,29.8,1,5.0,2019,-1.0,6,0,4,5,1,45.0,24,22.5,0,-1.0,-1.0,0,0
5,0,108.466666666667,35.0,1,5.0,2010,-1.0,4,0,3,4,0,45.0,20,39.5,0,-1.0,-1.0,0,0
10,1,15.053534627442357,32.54534332209042,1,6.0,2002,1.9427197489223766,5,0,3,4,0,46.88543949784475,12,31.3,0,15.286401255388117,0.0,0,1
10,0,77.7666666666667,40.8,1,7.0,2016,-1.0,5,0,4,5,1,45.0,20,24.2,0,-1.0,-1.0,0,0
3,0,18.860646885665922,35.822388616876,1,5.607306448262671,2011,1.0,4,0,6,4,1,46.96346775868665,17,22.13515807590692,0,2287.5936769637233,0.6073064482626712,0,1
10,0,11.4,29.2,1,5.0,2015,-1.0,5,0,3,4,0,42.0,18,27.7,2,-1.0,-1.0,0,0
10,0,10.7,33.0,1,6.0,2018,-1.0,6,0,3,4,0,46.0,15,22.5,0,-1.0,-1.0,0,0
9,1,15.1666666666667,31.5,1,6.0,2017,-1.0,5,0,4,4,1,45.0,15,31.3,0,-1.0,-1.0,1,0
12,1,41.2,27.3,1,5.0,2020,-1.0,6,0,4,4,1,45.0,15,25.9,0,-1.0,-1.0,0,0
5,1,40.8666666666667,33.0,1,5.0,2015,-1.0,5,1,3,4,0,50.0,5,31.3,1,-1.0,-1.0,0,0
5,0,9.5,29.5,1,5.0,2006,-1.0,3,0,2,5,0,45.0,18,31.3,0,-1.0,-1.0,0,0
11,0,11.3666666666667,22.5,1,5.0,2012,-1.0,4,0,2,4,0,45.0,18,29.5,0,-1.0,-1.0,0,0
12,0,83.75503634466361,45.126749209638554,1,5.60563467618165,2006,1.6056346761816498,3,1,3,4,0,43.760557266728455,23,39.17325079036144,0,21.81690402854495,0.0,0,1
7,0,16.854387259645414,47.816954078601384,1,5.0,2011,2.0,4,1,3,5,0,47.94616296429452,16,31.37178271427397,0,28.946162964294526,0.01794567856849183,0,1
5,0,10.2666666666667,36.0,1,6.0,2004,-1.0,3,0,3,4,0,45.0,22,31.3,0,-1.0,-1.0,0,0
10,0,11.1333333333333,27.6,1,5.0,2014,-1.0,4,0,3,4,0,47.0,28,35.3,0,-1.0,-1.0,0,0
11,0,9.73333333333333,24.6,1,4.0,2018,-1.0,6,3,3,5,0,38.0,10,14.6,0,-1.0,-1.0,0,0
1,1,8.56666666666667,18.8,0,5.0,2020,3.0,6,3,2,4,0,44.0,20,29.5,0,70.0,0.0,1,1
9,1,16.51020908964007,35.76290817686639,1,5.0,2009,1.0,4,1,3,5,0,50.25430272562213,15,20.75735882494926,0,5.254302725622131,0.37284863718893446,0,1
5,1,114.966666666667,30.6,1,5.0,2013,-1.0,4,0,3,4,0,40.0,21,49.5,1,-1.0,-1.0,1,0
5,0,9.93333333333333,30.0,1,5.0,2012,-1.0,4,0,3,4,0,38.0,12,39.5,2,-1.0,-1.0,0,0
