Unnamed: 0,BREED,GENDER_01,AGEATSURGERYmo,BODYWEIGHTKG,Taglia,BCS,YEAR,GENERATION,STEMSIZE,CUPSIZE,NECKSIZE,HEADSIZE,ALO,CUPRETROVERSION,STEMANTEVERSIONREAL,RECTUSFEMORISM.RELEASE,LUX_01,LUX_CR,mse
0,3.0,0.0,56.5,31.6,1.0,5.0,2021.0,6.0,0.0,4.0,4.0,1.0,46.0,15.0,17.7,0.0,0,0.0,1.998849722898007
1,8.0,0.0,9.4,40.9,1.0,5.0,2021.0,6.0,1.0,6.0,5.0,1.0,40.0,25.0,27.7,0.0,0,0.0,1.998849722898007
2,10.0,0.0,15.1333333333333,35.0,1.0,5.0,2021.0,6.0,0.0,4.0,4.0,1.0,42.0,20.0,27.7,1.0,0,0.0,1.998849722898007
3,6.0,0.0,83.4333333333333,18.7,0.0,6.0,2021.0,6.0,2.0,2.0,4.0,0.0,40.0,18.0,24.2,0.0,0,0.0,1.998849722898007
4,5.0,0.0,7.53333333333333,36.4,1.0,4.0,2021.0,6.0,1.0,6.0,5.0,1.0,42.0,28.0,25.9,1.0,0,0.0,1.998849722898007
5,11.0,1.0,12.2666666666667,21.6,1.0,5.0,2021.0,6.0,3.0,2.0,4.0,0.0,40.0,20.0,27.7,0.0,0,0.0,1.998849722898007
6,5.0,1.0,11.6333333333333,27.1,1.0,5.0,2021.0,6.0,0.0,4.0,4.0,1.0,40.0,13.0,17.7,1.0,0,0.0,1.998849722898007
7,5.0,0.0,95.2666666666667,46.3,1.0,6.0,2021.0,6.0,1.0,7.0,5.0,2.0,45.0,24.0,20.8,0.0,0,0.0,1.998849722898007
8,10.0,0.0,6.7,30.0,1.0,6.0,2021.0,6.0,0.0,4.0,4.0,1.0,45.0,19.0,19.2,0.0,0,0.0,1.998849722898007
9,11.0,1.0,17.9666666666667,21.4,1.0,6.0,2021.0,6.0,3.0,2.0,4.0,0.0,44.0,20.0,22.5,0.0,0,0.0,1.998849722898007
10,2.0,0.0,22.2,24.2,1.0,5.0,2021.0,6.0,2.0,2.0,4.0,0.0,40.0,23.0,17.7,1.0,0,0.0,1.998849722898007
11,11.0,1.0,13.8,23.0,1.0,4.0,2021.0,6.0,3.0,2.0,4.0,0.0,42.0,20.0,20.8,1.0,0,0.0,1.998849722898007
12,3.0,0.0,43.0333333333333,54.0,1.0,5.0,2021.0,6.0,4.0,9.0,6.0,2.0,44.0,23.0,17.7,1.0,0,0.0,1.998849722898007
13,10.0,0.0,26.0666666666667,41.6,1.0,5.0,2021.0,6.0,0.0,6.0,4.0,1.0,40.0,16.0,24.2,0.0,0,0.0,1.998849722898007
14,12.0,1.0,21.7333333333333,32.5,1.0,6.0,2021.0,6.0,0.0,4.0,4.0,1.0,42.0,18.0,29.5,1.0,0,0.0,1.998849722898007
