CASE_ID;BREED;GENDER_01;AGEATSURGERYmo;BODYWEIGHTKG;Taglia;BCS;INDICATIONFORTHR;HIPRL;YEAR;n_luxation;GENERATION;STEMSIZE;CUPSIZE;NECKSIZE;HEADSIZE;ALO;CUPRETROVERSION;STEMANTEVERSIONREAL;RECTUSFEMORISM.RELEASE;first_lux_days_after_thr;DIRECTION;LUX_01;LUX_CR
1;3;0;56,5;31,6;1;5;4;R;2021;;6;MEDIUM;4;4;1;46;15;17,7;NO;;;0;0
2;8;0;9,4;40,9;1;5;4;L;2021;;6;LARGE;6;5;1;40;25;27,7;NO;;;0;0
3;10;0;15,1333333333333;35;1;5;4;R;2021;;6;MEDIUM;4;4;1;42;20;27,7;YES;;;0;0
4;6;0;83,4333333333333;18,7;0;6;4;L;2021;;6;X-SMALL;2;4;0;40;18;24,2;NO;;;0;0
5;5;0;7,53333333333333;36,4;1;4;4;L;2021;;6;LARGE;6;5;1;42;28;25,9;YES;;;0;0
6;11;1;12,2666666666667;21,6;1;5;4;L;2021;;6;SMALL;2;4;0;40;20;27,7;NO;;;0;0
7;5;1;11,6333333333333;27,1;1;5;4;R;2021;;6;MEDIUM;4;4;1;40;13;17,7;YES;;;0;0
8;5;0;95,2666666666667;46,3;1;6;4;R;2021;;6;LARGE;7;5;2;45;24;20,8;NO;;;0;0
9;10;0;6,7;30;1;6;4;L;2021;;6;MEDIUM;4;4;1;45;19;19,2;NO;;;0;0
10;11;1;17,9666666666667;21,4;1;6;4;R;2021;;6;SMALL;2;4;0;44;20;22,5;NO;;;0;0
11;2;0;22,2;24,2;1;5;4;L;2021;;6;X-SMALL;2;4;0;40;23;17,7;YES;;;0;0
12;11;1;13,8;23;1;4;4;L;2021;;6;SMALL;2;4;0;42;20;20,8;YES;;;0;0
13;3;0;43,0333333333333;54;1;5;4;R;2021;;6;XX-LARGE GIANT;9;6;2;44;23;17,7;YES;;;0;0
14;10;0;26,0666666666667;41,6;1;5;4;L;2021;;6;MEDIUM;6;4;1;40;16;24,2;NO;;;0;0
15;12;1;21,7333333333333;32,5;1;6;4;R;2021;;6;MEDIUM;4;4;1;42;18;29,5;YES;;;0;0
16;11;0;14,3333333333333;23;1;5;4;R;2021;;6;X-SMALL;2;4;0;43;24;27,7;YES;;;0;0
17;12;1;30,8;30,7;1;5;4;L;2021;;6;MEDIUM;4;4;1;40;20;1,6;YES;;;0;0
18;11;0;16,1666666666667;24;1;5;4;L;2021;;6;SMALL;2;4;0;40;15;24,2;NO;;;0;0
19;11;1;71,3666666666667;25,5;1;7;4;L;2021;;6;SMALL;2;4;0;46;20;27,7;YES;;;0;0
20;12;1;43,2666666666667;30,8;1;6;4;L;2021;;6;MEDIUM;4;4;1;48;15;31,3;NO;;;0;0
21;10;0;15,5;31;1;5;4;R;2021;;6;SMALL;2;4;0;45;15;20,8;NO;;;0;0
22;2;0;46,8333333333333;27,3;1;4;4;L;2021;;6;MEDIUM;4;4;1;43;18;27,7;NO;;;0;0
23;2;0;17,9;29;1;5;4;L;2021;;6;SMALL;4;4;1;41;14;20,8;NO;;;0;0
24;12;0;58,5;29,3;1;5;4;R;2021;;6;SMALL;2;4;0;42;20;17,7;YES;;;0;0
25;1;0;12,3;30;1;5;4;L;2021;;6;MEDIUM;4;4;1;42;15;24,2;NO;;;0;0
26;11;1;18,9333333333333;21,7;1;4;4;L;2021;;6;SMALL;2;4;0;40;30;14,6;YES;;;0;0
27;5;1;53,8666666666667;30;1;4;4;R;2021;;6;MEDIUM;4;4;1;40;14;27,7;YES;;;0;0
28;12;1;17,7333333333333;27;1;5;4;L;2021;;6;SMALL;2;4;0;42;18;17,7;YES;;;0;0
29;11;0;32,8666666666667;19,2;0;5;4;L;2021;;6;X-SMALL;1;4;0;50;22;20,8;NO;;;0;0
30;10;1;23,0333333333333;30,2;1;5;4;R;2021;;6;SMALL;2;4;0;47;18;27,7;YES;;;0;0
31;10;0;13,0333333333333;33,7;1;5;4;L;2021;;6;MEDIUM;4;4;1;42;26;24,2;YES;;;0;0
